,ABEV3.SA,B3SA3.SA,BBDC4.SA,BOVA11.SA,GGBR4.SA,HAPV3.SA,HGLG11.SA,ITUB4.SA,IVVB11.SA,KNRI11.SA,LREN3.SA,MGLU3.SA,MXRF11.SA,PETR4.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SMAL11.SA,SUZB3.SA,VALE3.SA,VISC11.SA,WEGE3.SA
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,0.02,0.0,0.04943,0.0,0.0,0.0,0.0,0.02,0.35,0.0,0.03208,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.35,0.15849,0.0,0.0
2021-04-30,0.0,0.0,0.02,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.04572,0.0,0.02,0.0,0.27207,0.25221,0.0,0.0
2021-05-31,0.0,0.0,0.05876058760587606,0.0,0.31140311403114035,0.0,0.0,0.02000020000200002,0.0,0.0,0.02000020000200002,0.0,0.02000020000200002,0.02000020000200002,0.19983199831998322,0.0,0.0,0.0,0.0,0.35000350003500036,0.0,0.0
2021-06-30,0.0,0.0,0.2348,0.3152,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.35,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0
2021-07-30,0.040669593304066956,0.0,0.019999800001999978,0.0,0.0,0.0,0.0,0.019999800001999978,0.3499965000349996,0.0,0.0,0.0,0.0,0.0950790492095079,0.0,0.0,0.019999800001999978,0.1042589574104259,0.0,0.3499965000349996,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.12892,0.0,0.0,0.02,0.35,0.0,0.0,0.0,0.0,0.20525,0.02,0.0,0.0,0.0,0.0,0.23583,0.02,0.02
2021-09-30,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.02,0.0,0.0,0.02,0.35,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.2
2021-10-29,0.04384,0.0,0.0,0.0,0.23675,0.0,0.0,0.02,0.35,0.0,0.02,0.0,0.02,0.28941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-11-30,0.19442,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.0,0.02,0.0,0.02558,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2021-12-30,0.100608,0.0,0.0,0.0,0.07171,0.0,0.0,0.0,0.151712,0.0,0.073585,0.0,0.35,0.073008,0.090858,0.0,0.0,0.0,0.08852,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.123971,0.0,0.102349,0.0,0.0,0.0,0.211206,0.0,0.098851,0.0,0.0,0.10326,0.124441,0.0,0.0,0.0,0.124221,0.1117,0.0,0.0
2022-02-25,0.0,0.0,0.0,0.158386,0.085427,0.0,0.280346,0.109928,0.0,0.0,0.08289,0.0,0.0,0.087076,0.0,0.0,0.0,0.0,0.104143,0.091804,0.0,0.0
2022-03-31,0.0,0.0,0.0,0.157673,0.083388,0.0,0.286358,0.111385,0.0,0.0,0.079904,0.0,0.0,0.086834,0.104085,0.0,0.0,0.0,0.0,0.090373,0.0,0.0
2022-04-29,0.0,0.0,0.0,0.193717,0.102388,0.0,0.0,0.138986,0.0,0.0,0.098767,0.0,0.0,0.107921,0.129349,0.118098,0.0,0.0,0.0,0.110775,0.0,0.0
2022-05-31,0.0,0.0,0.0,0.144618,0.076884,0.0,0.0,0.104825,0.0,0.0,0.073744,0.0,0.339694,0.080284,0.096424,0.0,0.0,0.0,0.0,0.083528,0.0,0.0
2022-06-30,0.0,0.0,0.100748,0.144891,0.076055,0.0,0.0,0.0,0.0,0.0,0.07382,0.0,0.344299,0.08075,0.096387,0.0,0.0,0.0,0.0,0.083048,0.0,0.0
2022-07-29,0.0,0.0,0.0,0.114104,0.0,0.0,0.214973,0.084036,0.119144,0.0,0.058071,0.0,0.271458,0.062995,0.075221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,0.113523,0.0,0.0,0.0,0.0,0.0,0.0,0.110121,0.0,0.0,0.075156,0.0,0.35,0.080616,0.098356,0.092702,0.079526,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.096245,0.0,0.0,0.12209,0.0,0.0,0.0,0.092276,0.0,0.0,0.063348,0.0,0.294979,0.067599,0.083058,0.0,0.0,0.0,0.0,0.0,0.180405,0.0
2022-10-31,0.0,0.0,0.0,0.139367,0.0,0.0,0.0,0.10586,0.0,0.0,0.072596,0.0,0.345995,0.076422,0.095259,0.08795,0.076552,0.0,0.0,0.0,0.0,0.0
2022-11-30,0.0,0.0,0.0,0.192055,0.105124,0.0,0.0,0.0,0.0,0.0,0.100175,0.0,0.0,0.105613,0.132226,0.121643,0.0,0.0,0.130002,0.0,0.0,0.113163
2022-12-29,0.0,0.077316,0.0,0.143834,0.079361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.07895,0.09932,0.0,0.0,0.0,0.0,0.085357,0.0,0.085862
2023-01-31,0.0,0.074052,0.0,0.136871,0.076907,0.0,0.0,0.105798,0.0,0.0,0.0,0.0,0.344368,0.0,0.096124,0.0,0.0,0.0,0.0,0.083029,0.0,0.082851
2023-02-28,0.0,0.0,0.0,0.135856,0.076632,0.0,0.0,0.104566,0.0,0.0,0.0,0.0,0.345828,0.07476,0.096187,0.0,0.0,0.0,0.0,0.083032,0.0,0.083139
2023-03-31,0.0,0.0,0.0,0.0,0.075198,0.0,0.0,0.102029,0.138734,0.0,0.0,0.0,0.340644,0.0,0.094355,0.085067,0.0,0.0,0.0,0.081608,0.0,0.082365
2023-04-28,0.104805,0.0,0.089487,0.0,0.0,0.0,0.0,0.097245,0.132331,0.0,0.0,0.0,0.326139,0.0,0.08989,0.081367,0.0,0.0,0.0,0.0,0.0,0.078737
2023-05-31,0.11171,0.0,0.0,0.0,0.0,0.0,0.0,0.10247,0.140018,0.0,0.0,0.040292,0.339716,0.0,0.095753,0.086334,0.0,0.0,0.0,0.0,0.0,0.083708
2023-06-30,0.0,0.081459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238742,0.0,0.046271,0.0,0.083534,0.109787,0.098381,0.0,0.117384,0.0,0.0,0.224443,0.0
2023-07-31,0.0,0.0,0.104614,0.0,0.0,0.0,0.0,0.0,0.0,0.233676,0.0,0.045181,0.0,0.081261,0.107075,0.095946,0.0,0.114578,0.0,0.0,0.217669,0.0
2023-08-31,0.0,0.092454,0.0,0.0,0.097983,0.0,0.0,0.0,0.183175,0.0,0.0,0.052483,0.0,0.09462,0.0,0.111259,0.0,0.0,0.118292,0.0,0.249733,0.0
2023-09-29,0.0,0.0,0.0,0.0,0.0,0.051552,0.0,0.0,0.139429,0.203057,0.0,0.039804,0.320472,0.071949,0.0,0.084312,0.0,0.0,0.089426,0.0,0.0,0.0
2023-10-31,0.0,0.0,0.100723,0.0,0.0,0.0,0.0,0.110604,0.0,0.0,0.067925,0.0,0.35,0.078196,0.103439,0.091408,0.0,0.0,0.097704,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.0,0.160526,0.0,0.0,0.0,0.123898,0.0,0.0,0.074964,0.0,0.0,0.087772,0.114189,0.0,0.0,0.0,0.109535,0.097602,0.231512,0.0
2023-12-28,0.0,0.0,0.0,0.124256,0.0,0.0,0.0,0.096027,0.0,0.189545,0.058085,0.0,0.300047,0.068013,0.088276,0.0,0.0,0.0,0.0,0.075751,0.0,0.0
2024-01-31,0.0,0.0,0.0,0.149373,0.0,0.0,0.0,0.11557,0.160235,0.0,0.06948,0.0,0.0,0.08186,0.105752,0.0,0.0,0.0,0.101606,0.0,0.216125,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.240222,0.089583,0.124441,0.177096,0.053849,0.0,0.0,0.063632,0.08229,0.0,0.0,0.0,0.0,0.0,0.168886,0.0
2024-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107122,0.148765,0.211093,0.063526,0.0,0.0,0.075487,0.097804,0.0,0.0,0.0,0.094118,0.0,0.202085,0.0
2024-04-30,0.0,0.0,0.100707,0.0,0.0,0.0,0.296859,0.11167,0.155521,0.0,0.066241,0.0,0.0,0.079112,0.0,0.0,0.0,0.0,0.098708,0.0,0.0,0.091182
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.266716,0.100597,0.140422,0.0,0.059067,0.0,0.0,0.071098,0.0,0.0,0.0,0.0,0.088284,0.0,0.19129,0.082526
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.063851,0.0,0.129279,0.179744,0.0,0.075732,0.0,0.0,0.091254,0.0,0.0,0.0,0.0,0.112519,0.0,0.241491,0.10613
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108035,0.149206,0.0,0.06273,0.0,0.330986,0.076143,0.097234,0.088026,0.0,0.0,0.0,0.0,0.0,0.087639
2024-08-30,0.0,0.0,0.0,0.127827,0.0,0.0,0.253966,0.097774,0.134745,0.0,0.056303,0.0,0.0,0.069051,0.0,0.0,0.0,0.0,0.0,0.0,0.181264,0.07907
2024-09-30,0.091401,0.0,0.076764,0.11154,0.0,0.0,0.2222,0.0,0.117222,0.0,0.048987,0.0,0.263039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068846
2024-10-31,0.091106,0.0,0.0,0.111843,0.0,0.0,0.222225,0.085528,0.117154,0.0,0.048996,0.0,0.254555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068593
2024-11-29,0.119855,0.0,0.100642,0.0,0.081768,0.0,0.291885,0.0,0.153967,0.0,0.063902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097511,0.0,0.0,0.09047
2024-12-30,0.0,0.0,0.0,0.0,0.082297,0.0,0.280859,0.112783,0.154272,0.0,0.0,0.0,0.0,0.080837,0.099702,0.0,0.0,0.0,0.098043,0.0,0.0,0.091208
